sure start centre,inputted_ward,bestCode,bestMatch
SMILE Sure Start,Mount Vernon and Shore Crescent (Castleview),95GG13,Castleview
Colin Neighbourhood Sure Start,Lagmore (Derriaghy),95SS07,Derryaghy
Coleraine Sure Start,Knocklyn and University,95JJ21,University
Coleraine Sure Start,Knocklyn and University,95JJ13,Knocklynn
Abbey Sure Start,Valley and Whitehouse,95WW24,Valley
Abbey Sure Start,Valley and Whitehouse,95WW25,Whitehouse
SMILE Sure Start,York Park (Fortwilliam),95GG24,Fortwilliam
Cherish Sure Start,Kesh,95PP14,Kesh Ederney and Lack
Horizon Sure Start,Ballyloran and Craigyhill,95QQ03,Ballyloran
Horizon Sure Start,Ballyloran and Craigyhill,95QQ08,Craigy Hill
East Belfast Sure Start,Ballymacarett Woodstock,95GG50,Woodstock
East Belfast Sure Start,Ballymacarett Woodstock,95GG04,Ballymacarrett
Dalriada Sure Start,Moyarget,95UU15,Moss-side and Moyarget
Shantallow Sure Start,Culmore Area,95MM13,Culmore
Shankill Sure Start,Shankill Road,95GG40,Shankill
Dalriada Sure Start,Mosside,95UU15,Moss-side and Moyarget
Cherish Sure Start,Ederney and Lack,95PP14,Kesh Ederney and Lack
Orana Sure Start,St. Marys,95VV27,St Mary's
Outer West Belfast Sure Start,Glen Rd,95GG25,Glen Road
Orana Sure Start,St. Patricks,95VV28,St Patrick's
Ballymena South Sure Start,Dunclag,95DD11,Dunclug
Blossom Sure Start,Cocrain,95LL08,Corcrain
Splash Sure Start,Drumgas,95LL12,Drumgask
Little Hands Sure Start,Creevagh,95MM12,Crevagh
Glenbrook Sure Start,Ligoniel,95GG32,Legoniel
Shantallow Sure Start,Carnhill,95MM06,Carn Hill
Dalriada Sure Start,Glentaise,95UU12,Glentaisie
Ballymena South Sure Start,Fairgreen,95DD13,Fair Green
Horizon Sure Start,Northlands,95HH13,Northland
Clogher Valley Sure Start,Anghnacloy,95OO03,Aughnacloy
Orana Sure Start,Daisyhill,95VV10,Daisy hill
Coleraine Sure Start,Churchlands,95JJ06,Churchland
Coleraine Sure Start,CrossGlebe,95JJ07,Cross Glebe
Waterside Sure Start,Clondermott,95MM08,Clondermot
Colin Neighbourhood Sure Start,Colin Glen,95SS06,Collin Glen
SMILE Sure Start,Waterworks,95GG47,Water Works
South Belfast Sure Start,Shaftsbury,95GG39,Shaftesbury
Dalriada Sure Start,Dunserverick,95UU07,Dunseverick
G-Old Community Sure Start,Gortalowry,95KK04,Gortalowry
G-Old Community Sure Start,Oldtown,95KK11,Oldtown
G-Old Community Sure Start,Killymoon,95KK06,Killymoon
G-Old Community Sure Start,Ardboe,95KK01,Ardboe
Dalriada Sure Start,Armoy,95UU01,Armoy
Dalriada Sure Start,Bushmills,95UU04,Bushmills
Dalriada Sure Start,Ballylough,95UU02,Ballylough
