sure start centre,inputted_ward,bestMatch,bestMatchId,bestScore,others,bestLGD,bestCode
SMILE Sure Start,Mount Vernon and Shore Crescent (Castleview),Boho Cleenish and Letterbreen,355,0.2727272727272727,Bonamargy and Rathlin|Mount Sandel,Fermanagh,95PP04
Colin Neighbourhood Sure Start,Lagmore (Derriaghy),Derryaghy,411,0.42105263157894735,Dromore North|Moneyreagh,Lisburn,95SS07
Coleraine Sure Start,Knocklyn and University,University,233,0.4347826086956522,Knocklynn|Knocknashane,Coleraine,95JJ21
Abbey Sure Start,Valley and Whitehouse,Whitehouse,520,0.47619047619047616,Callan Bridge|Ballyhanwood,Newtownabbey,95WW25
SMILE Sure Start,York Park (Fortwilliam),Fortwilliam,145,0.4782608695652174,Markethill|Rathfriland,Belfast,95GG24
Cherish Sure Start,Kesh,West,582,0.5,Slemish|Keady,Strabane,95ZZ16
Horizon Sure Start,Ballyloran and Craigyhill,Ballyhoe and Corkey,89,0.52,Ballycraigy|Ballynafeigh,Ballymoney,95EE01
East Belfast Sure Start,Ballymacarett Woodstock,Ballymacarrett,125,0.5217391304347826,Ballyclare North|Ballyclare South,Belfast,95GG04
Dalriada Sure Start,Moyarget,Moygashel,349,0.5555555555555556,Moat|Tullycarnet,Dungannon,95OO20
Shantallow Sure Start,Culmore Area,Culmore,289,0.5833333333333333,Dromore North|Clonard,Derry,95MM13
Shankill Sure Start,Shankill Road,Shankill,161,0.6153846153846154,Shantallow East|Shantallow West,Belfast,95GG40
Dalriada Sure Start,Mosside,Roeside,402,0.7142857142857143,Mossley|Bannside,Limavady,95RR13
Cherish Sure Start,Ederney and Lack,Kesh Ederney and Lack,365,0.7619047619047619,Belleek and Boa|Derrygonnelly,Fermanagh,95PP14
Orana Sure Start,St. Marys,St Mary's,492,0.7777777777777778,St Patrick's|Town Parks,Newry and Mourn,95VV27
Outer West Belfast Sure Start,Glen Rd,Glen Road,146,0.7777777777777778,Glenarm|Glenderg,Belfast,95GG25
Orana Sure Start,St. Patricks,St Patrick's,493,0.8333333333333334,Seapatrick|St Mary's,Newry and Mourn,95VV28
Ballymena South Sure Start,Dunclag,Dunclug,75,0.8571428571428572,Dunloy|Duncairn,Ballymena,95DD11
Blossom Sure Start,Cocrain,Corcrain,258,0.875,Gortin|Macosquin,Craigavon,95LL08
Splash Sure Start,Drumgas,Drumgask,262,0.875,Drumglass|Drumgor,Craigavon,95LL12
Little Hands Sure Start,Creevagh,Crevagh,288,0.875,Cregagh|Garvagh,Derry,95MM12
