ward_code,osni_ward_lgd,nimdm_ward_lgd
95NN02,AUDLEYS ACRE Down,Audley's Acre Down
95SS20,LISNAGARVY Lisburn,Lisnagarvey Lisburn
95XX24,SPRING HILL North Down,Springhill North Down
95VV16,FATHOM Newry and Mourne,Fathom Newry and Mourn
95VV26,SPELGA Newry and Mourne,Spelga Newry and Mourn
95VV04,BINNIAN Newry and Mourne,Binnian Newry and Mourn
95VV08,CREGGAN Newry and Mourne,Creggan Newry and Mourn
95VV24,SEAVIEW Newry and Mourne,Seaview Newry and Mourn
95VV01,ANNALONG Newry and Mourne,Annalong Newry and Mourn
95VV02,BALLYBOT Newry and Mourne,Ballybot Newry and Mourn
95VV06,CAMLOUGH Newry and Mourne,Camlough Newry and Mourn
95VV17,FORKHILL Newry and Mourne,Forkhill Newry and Mourn
95VV03,BESSBROOK Newry and Mourne,Bessbrook Newry and Mourn
95VV07,CLONALLAN Newry and Mourne,Clonallan Newry and Mourn
95VV12,DERRYMORE Newry and Mourne,Derrymore Newry and Mourn
95VV14,DRUMALANE Newry and Mourne,Drumalane Newry and Mourn
95VV20,LISNACREE Newry and Mourne,Lisnacree Newry and Mourn
95VV23,ROSTREVOR Newry and Mourne,Rostrevor Newry and Mourn
95VV27,ST MARY'S Newry and Mourne,St Mary's Newry and Mourn
95VV10,DAISY HILL Newry and Mourne,Daisy hill Newry and Mourn
95VV13,DONAGHMORE Newry and Mourne,Donaghmore Newry and Mourn
95VV21,MAYOBRIDGE Newry and Mourne,Mayobridge Newry and Mourn
95VV29,TULLYHAPPY Newry and Mourne,Tullyhappy Newry and Mourn
95VV09,CROSSMAGLEN Newry and Mourne,Crossmaglen Newry and Mourn
95VV15,DRUMGULLION Newry and Mourne,Drumgullion Newry and Mourn
95VV11,DERRYLECKAGH Newry and Mourne,Derryleckagh Newry and Mourn
95VV28,ST PATRICK'S Newry and Mourne,St Patrick's Newry and Mourn
95VV30,WINDSOR HILL Newry and Mourne,Windsor Hill Newry and Mourn
95VV19,KILKEEL SOUTH Newry and Mourne,Kilkeel South Newry and Mourn
95VV25,SILVER BRIDGE Newry and Mourne,Silver Bridge Newry and Mourn
95PP14,"KESH, EDERNEY and LACK Fermanagh",Kesh Ederney and Lack Fermanagh
95VV18,KILKEEL CENTRAL Newry and Mourne,Kilkeel Central Newry and Mourn
95VV22,NEWTOWNHAMILTON Newry and Mourne,Newtownhamilton Newry and Mourn
95VV05,BURREN AND KILBRONEY Newry and Mourne,Burren and Kilbroney Newry and Mourn
95PP04,"BOHO, CLEENISH and LETTERBREEN Fermanagh",Boho Cleenish and Letterbreen Fermanagh
95AA01,ALDERGROVE Antrim,Aldergrove Antrim
95AA02,BALLOO Antrim,Balloo Antrim
95AA03,BALLYCRAIGY Antrim,Ballycraigy Antrim
95AA04,CLADY Antrim,Clady Antrim
95AA05,CRANFIELD Antrim,Cranfield Antrim
95AA06,CRUMLIN Antrim,Crumlin Antrim
95AA07,DRUMANAWAY Antrim,Drumanaway Antrim
95AA08,FARRANSHANE Antrim,Farranshane Antrim
95AA09,FOUNTAIN HILL Antrim,Fountain Hill Antrim
95AA10,GREYSTONE Antrim,Greystone Antrim
95AA11,MASSEREENE Antrim,Massereene Antrim
95AA12,PARKGATE Antrim,Parkgate Antrim
95AA13,RANDALSTOWN Antrim,Randalstown Antrim
95AA14,SHILVODAN Antrim,Shilvodan Antrim
95AA15,SPRINGFARM Antrim,Springfarm Antrim
95AA16,STEEPLE Antrim,Steeple Antrim
95AA17,STILES Antrim,Stiles Antrim
95AA18,TEMPLEPATRICK Antrim,Templepatrick Antrim
95AA19,TOOME Antrim,Toome Antrim
95BB01,BALLYGOWAN Ards,Ballygowan Ards
95BB02,BALLYRAINEY Ards,Ballyrainey Ards
95BB03,BALLYWALTER Ards,Ballywalter Ards
95BB04,BRADSHAW'S BRAE Ards,Bradshaw's Brae Ards
95BB05,CARROWDORE Ards,Carrowdore Ards
95BB06,CENTRAL Ards,Central Ards
95BB07,COMBER EAST Ards,Comber East Ards
95BB08,COMBER NORTH Ards,Comber North Ards
95BB09,COMBER WEST Ards,Comber West Ards
95BB10,DONAGHADEE NORTH Ards,Donaghadee North Ards
95BB11,DONAGHADEE SOUTH Ards,Donaghadee South Ards
95BB12,GLEN Ards,Glen Ards
95BB13,GREGSTOWN Ards,Gregstown Ards
95BB14,KILLINCHY Ards,Killinchy Ards
95BB15,KIRCUBBIN Ards,Kircubbin Ards
